ObjectID;ProviderID;GoogleID;State;ActiveTime;Rank;TypeID;Name;Address;Phone;Lat;Lng
100;100;ChIJIQKq77FC0EAR3aOemhFUHBk;0;;0;0;PUB DROVA;вулиця Декабристів, 2/14, Кропивницький;;48.512989;32.264721
100;101;ChIJ90mT565C0EAR5YlcNui0I4k;0;;0;0;OBLAKA;26, вулиця Архітектора Паученка, 41, Кропивницький;;48.510117;32.269709
100;102;ChIJ-TM0RKZC0EARDWj5Lg7Nk4Y;0;;0;0;Пудинг;Преображенська вулиця, 27а, Кропивницький;;48.505178;32.26933
100;103;ChIJqYiLZa5C0EARuG3jRHsHiDQ;0;;0;0;FAMILIA GARDEN;вулиця Велика Перспективна, 34/32, Кропивницький;;48.51167;32.268231
100;104;ChIJ_2LuT6ZC0EARVoYolywbnMY;0;;0;0;АДМІРАЛ, БАР;Преображенська вулиця, 26, Кропивницький;;48.504839;32.26925
100;105;ChIJA5pzb65C0EARTlQCZj9gsjM;0;;0;0;Zer Hut Nimets?ke Pyvo Rozlyvne;вулиця Велика Перспективна, 34/32, Кропивницький;;48.511853;32.26826
100;106;ChIJUetrjI9D0EAR46XDL1_GHtY;0;;0;0;"Pab ""Zer Hud""";вулиця Шевченка, 32/34, Кропивницький;;48.511957;32.268166
100;107;ChIJ829OFbFC0EARnxvjzHUJUCQ;0;;0;0;Такси;вулиця Нейгауза, 3, Кропивницький;;48.513874;32.260144
100;108;ChIJJYi3oOxD0EARoesXgOpJQb0;0;;0;0;Lomaka_Bar;вулиця Велика Перспективна, 21-17, Кропивницький;;48.513204;32.270068
100;109;ChIJk2mmiq1C0EARTDRR34R5OD8;0;;0;0;Western, СНЕК-БАР;вулиця В'ячеслава Чорновола, 14/2, Кропивницький;;48.514305;32.267902
100;110;ChIJBXAbP6lC0EAREHXCm6_IIW8;0;;0;0;Manhal;вулиця Шевченка, 56, Кропивницький;;48.509655;32.273313
100;111;ChIJd0EBr7NC0EART2AmG5ZUfh0;0;;0;0;Pyvovarnya;Зірка, вул. Гагаріна, 1А, Кропивницький;;48.516267;32.264508
100;112;ChIJu8lEU71C0EARbR0dvm-c1N8;0;;0;0;Shashlychnyy Dvir;вулиця Соборна, 1, Кропивницький;;48.50163;32.251649
